COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
80945,2016,1,1,0.00000,84.00000,68.00000, 
80945,2016,1,2,0.00000,71.00000,62.00000, 
80945,2016,1,3,0.16000,63.00000,53.00000, 
80945,2016,1,4,0.00000,64.00000,52.00000, 
80945,2016,1,5,0.00000,69.00000,50.00000, 
80945,2016,1,6,0.04000,70.00000,56.00000, 
80945,2016,1,7,0.00000,66.00000,55.00000, 
80945,2016,1,8,0.32000,77.00000,55.00000, 
80945,2016,1,9,0.55000,80.00000,62.00000, 
80945,2016,1,10,0.02000,73.00000,56.00000, 
80945,2016,1,11,0.00000,59.00000,47.00000, 
80945,2016,1,12,0.00000,64.00000,45.00000, 
80945,2016,1,13,0.00000,60.00000,49.00000, 
80945,2016,1,14,0.00000,69.00000,50.00000, 
80945,2016,1,15,0.41000,73.00000,58.00000, 
80945,2016,1,16,0.40000,78.00000,55.00000, 
80945,2016,1,17,0.90000,72.00000,54.00000, 
80945,2016,1,18,0.06000,59.00000,45.00000, 
80945,2016,1,19,0.00000,56.00000,44.00000, 
80945,2016,1,20,0.00000,65.00000,41.00000, 
80945,2016,1,21,0.00000,70.00000,47.00000, 
80945,2016,1,22,0.14000,71.00000,47.00000, 
80945,2016,1,23,0.00000,62.00000,50.00000, 
80945,2016,1,24,0.00000,54.00000,40.00000, 
80945,2016,1,25,0.02000,67.00000,36.00000, 
80945,2016,1,26,0.26000,77.00000,54.00000, 
80945,2016,1,27,0.95000,69.00000,64.00000, 
80945,2016,1,28,0.66000,69.00000,61.00000, 
80945,2016,1,29,0.01000,62.00000,48.00000, 
80945,2016,1,30,0.00000,69.00000,48.00000, 
80945,2016,1,31,0.00000,73.00000,53.00000, 
80945,2016,2,1,0.00000,81.00000,61.00000, 
80945,2016,2,2,0.00000,81.00000,63.00000, 
80945,2016,2,3,0.00000,84.00000,70.00000, 
80945,2016,2,4,0.18000,81.00000,58.00000, 
80945,2016,2,5,0.00000,62.00000,47.00000, 
80945,2016,2,6,0.31000,57.00000,48.00000, 
80945,2016,2,7,0.00000,56.00000,45.00000, 
80945,2016,2,8,0.00000,68.00000,41.00000, 
80945,2016,2,9,0.00000,64.00000,54.00000, 
80945,2016,2,10,0.00000,58.00000,44.00000, 
80945,2016,2,11,0.00000,67.00000,41.00000, 
80945,2016,2,12,0.00000,71.00000,43.00000, 
80945,2016,2,13,0.00000,69.00000,52.00000, 
80945,2016,2,14,0.00000,72.00000,45.00000, 
80945,2016,2,15,0.00000,74.00000,45.00000, 
80945,2016,2,16,0.52000,73.00000,55.00000, 
80945,2016,2,17,0.00000,72.00000,52.00000, 
80945,2016,2,18,0.00000,73.00000,56.00000, 
80945,2016,2,19,0.00000,76.00000,53.00000, 
80945,2016,2,20,0.00000,77.00000,53.00000, 
80945,2016,2,21,0.00000,77.00000,54.00000, 
80945,2016,2,22,0.01000,81.00000,55.00000, 
80945,2016,2,23,0.00000,82.00000,63.00000, 
80945,2016,2,24,0.49000,75.00000,61.00000, 
80945,2016,2,25,0.00000,63.00000,51.00000, 
80945,2016,2,26,0.00000,63.00000,48.00000, 
80945,2016,2,27,0.00000,62.00000,43.00000, 
80945,2016,2,28,0.00000,73.00000,46.00000, 
80945,2016,2,29,0.00000,76.00000,56.00000, 
80945,2016,3,1,0.00000,80.00000,53.00000, 
